Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.2-192.168.0.10-21-45192-6,192.168.0.10,45192,192.168.0.2,21,6,25/04/2025 08:11:51 PM,58514,2,1,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,187.98919916601156,51.269781590730425,29257.0,41234.224838112335,58414.0,100.0,100.0,100.0,0.0,100.0,100.0,0,0,0,0,0,0,0,0,0,64,32,34.179854393820285,17.089927196910143,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,0.0,3.6666666666666665,5.5,0.0,0,0,0,0,0,0,2,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-45220-6,192.168.0.10,45220,192.168.0.2,21,6,25/04/2025 08:11:41 PM,10659367,14,16,74.0,188.0,14.0,0.0,5.285714285714286,6.402266082334519,34.0,0.0,11.75,14.401388821915754,24.579320704503374,2.8144260348667984,367564.3793103449,991400.8332339799,3521174.0,15.0,1.065796E7,819843.076923077,1401485.554770869,3565667.0,1347.0,1.0659367E7,710624.4666666666,1306369.3669997267,3521174.0,185.0,0,0,0,0,448,528,1.3133988162711727,1.501027218595626,0.0,34.0,8.451612903225804,11.589761889062315,134.32258064516128,0,1,0,0,0,0,0,0,1.0,8.733333333333333,5.285714285714286,11.75,0,0,0,0,0,0,14,74,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-45228-6,192.168.0.10,45228,192.168.0.2,21,6,25/04/2025 08:11:41 PM,10708848,14,16,73.0,188.0,14.0,0.0,5.2142857142857135,6.302363066325219,34.0,0.0,11.75,14.401388821915754,24.372369464950854,2.8014217775805577,369270.62068965513,997367.9326639269,3540234.0,11.0,1.0707265E7,823635.7692307692,1408856.4462776275,3586346.0,1364.0,1.0708848E7,713923.2000000001,1314456.30236705,3540234.0,357.0,0,0,0,0,448,528,1.3073301628709268,1.4940916147096308,0.0,34.0,8.419354838709674,11.575186660981288,133.98494623655913,0,1,0,0,0,0,0,0,1.0,8.7,5.214285714285714,11.75,0,0,0,0,0,0,14,73,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-45220-6,192.168.0.10,45220,192.168.0.2,21,6,25/04/2025 08:11:52 PM,58805,2,1,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,187.05892356092167,51.01607006206955,29402.5,41434.33605718813,58701.0,104.0,104.0,104.0,0.0,104.0,104.0,0,0,0,0,0,0,0,0,0,64,32,34.010713374713035,17.005356687356517,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,0.0,3.6666666666666665,5.5,0.0,0,0,0,0,0,0,2,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-45228-6,192.168.0.10,45228,192.168.0.2,21,6,25/04/2025 08:11:52 PM,58612,2,1,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,187.6748788643964,51.184057872108106,29306.0,41296.45023485675,58507.0,105.0,105.0,105.0,0.0,105.0,105.0,0,0,0,0,0,0,0,0,0,64,32,34.122705248072066,17.061352624036033,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,0.0,3.6666666666666665,5.5,0.0,0,0,0,0,0,0,2,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53102-6,192.168.0.10,53102,192.168.0.2,21,6,25/04/2025 08:11:49 PM,10179528,14,16,77.0,188.0,16.0,0.0,5.5,6.733955289883788,34.0,0.0,11.75,14.401388821915754,26.032641199081137,2.9470914564997512,351018.2068965517,941394.3035472278,3320445.0,14.0,1.0178246E7,782942.0,1330786.6768664815,3364443.0,1533.0,1.0179528E7,678635.2000000001,1239481.6482813752,3320445.0,116.0,0,0,0,0,448,528,1.3753093463665507,1.5717821101332008,0.0,34.0,8.548387096774192,11.644279596086138,135.58924731182796,0,1,0,0,0,0,0,0,1.0,8.833333333333334,5.5,11.75,0,0,0,0,0,0,14,77,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53110-6,192.168.0.10,53110,192.168.0.2,21,6,25/04/2025 08:11:49 PM,10179256,14,16,75.0,188.0,15.0,0.0,5.357142857142858,6.51161261909052,34.0,0.0,11.75,14.401388821915754,25.836858803826132,2.947170205759635,351008.8275862069,944655.720436365,3330082.0,24.0,1.0177764E7,782904.9230769231,1330589.5130157198,3364595.0,1449.0,1.0179256E7,678617.0666666668,1244261.9479640168,3330082.0,345.0,0,0,0,0,448,528,1.375346096021163,1.571824109738472,0.0,34.0,8.483870967741934,11.607098310206375,134.7247311827957,0,1,0,0,0,0,0,0,1.0,8.766666666666667,5.357142857142857,11.75,0,0,0,0,0,0,14,75,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53094-6,192.168.0.10,53094,192.168.0.2,21,6,25/04/2025 08:11:48 PM,10339296,13,16,74.0,188.0,15.0,0.0,5.692307692307693,6.485684432972557,34.0,0.0,11.75,14.401388821915754,25.34021658728022,2.8048331337065893,369260.57142857136,972282.5808029509,3321396.0,3.0,7341406.0,611783.8333333334,1232747.2442828168,3364998.0,1753.0,1.0339296E7,689286.3999999999,1260502.849207059,3321396.0,3.0,0,0,0,0,416,528,1.2573389909719193,1.5474941427346698,0.0,34.0,8.73333333333333,11.682386781798495,136.47816091954022,0,1,0,0,0,0,0,0,1.0,9.03448275862069,5.6923076923076925,11.75,0,0,0,0,0,0,13,74,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53114-6,192.168.0.10,53114,192.168.0.2,21,6,25/04/2025 08:11:49 PM,10189500,14,16,77.0,188.0,16.0,0.0,5.5,6.722522420364821,34.0,0.0,11.75,14.401388821915754,26.007164237695665,2.9442072721919623,351362.06896551716,943418.0175457344,3330501.0,30.0,1.0187659E7,783666.076923077,1331912.449662293,3373999.0,1413.0,1.01895E7,679300.0,1242303.286913063,3330501.0,272.0,0,0,0,0,448,528,1.3739633936895823,1.5702438785023798,0.0,34.0,8.548387096774194,11.641416608177945,135.5225806451613,0,1,0,0,0,0,0,0,1.0,8.833333333333334,5.5,11.75,0,0,0,0,0,0,14,77,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53102-6,192.168.0.10,53102,192.168.0.2,21,6,25/04/2025 08:11:59 PM,58988,2,1,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,186.4786058181325,50.85780158676341,29494.0,41592.02086939273,58904.0,84.0,84.0,84.0,0.0,84.0,84.0,0,0,0,0,0,0,0,0,0,64,32,33.90520105784228,16.95260052892114,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,0.0,3.6666666666666665,5.5,0.0,0,0,0,0,0,0,2,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-53110-6,192.168.0.10,53110,192.168.0.2,21,6,25/04/2025 08:11:59 PM,59469,2,1,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,184.9703206712741,50.44645109216567,29734.5,41923.653949769214,59379.0,90.0,90.0,90.0,0.0,90.0,90.0,0,0,0,0,0,0,0,0,0,64,32,33.63096739477711,16.815483697388554,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,0.0,3.6666666666666665,5.5,0.0,0,0,0,0,0,0,2,11,1,0,-1,502,1,0,0,0,0,0,0,0,0,0,No Label
