Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.2-192.168.0.10-6000-43066-6,192.168.0.10,43066,192.168.0.2,6000,6,24/04/2025 03:13:15 PM,98521,3,5,12.0,56.0,12.0,0.0,4.0,6.928203230275509,56.0,0.0,11.2,25.043961347997644,690.2081789669207,81.20096223140244,14074.428571428572,36649.81349591992,97187.0,12.0,98061.0,49030.5,68103.57541641995,97187.0,874.0,98521.0,24630.25,48772.64394019117,97789.0,88.0,0,0,0,0,96,176,30.450360836775918,50.75060139462653,0.0,56.0,7.555555555555555,18.595100907975137,345.77777777777777,0,1,0,0,0,0,0,0,1.0,8.5,4.0,11.2,0,0,0,0,0,0,3,12,5,56,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-22-33468-6,192.168.0.10,33468,192.168.0.2,22,6,24/04/2025 03:13:15 PM,185028,3,3,0.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,12.666666666666666,21.939310229205777,205.37432172427958,32.42752448278098,37005.6,78509.9275079273,177347.0,16.0,184436.0,92218.0,120390.5863512592,177347.0,7089.0,7665.0,3832.5,4619.528601491715,7099.0,566.0,0,0,0,0,96,112,16.21376224139049,16.21376224139049,0.0,38.0,5.428571428571428,14.362649974350635,206.2857142857143,0,1,0,0,0,0,0,0,1.0,6.333333333333333,0.0,12.666666666666666,0,0,0,0,0,0,3,0,3,38,-1,91,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-22-33484-6,192.168.0.10,33484,192.168.0.2,22,6,24/04/2025 03:13:15 PM,183097,3,6,20.0,70.0,20.0,0.0,6.666666666666667,11.547005383792516,38.0,0.0,11.666666666666666,18.173240400838445,491.5427341791509,49.15427341791509,22887.125000000004,59550.14191523812,169925.0,1.0,181753.0,90876.5,111791.4607852496,169925.0,11828.0,183097.0,36619.4,75154.78038554832,170759.0,1.0,0,0,0,0,96,208,16.3847578059717,32.7695156119434,0.0,38.0,9.0,15.121728296285006,228.66666666666666,0,1,0,0,0,0,0,0,2.0,10.0,6.666666666666667,11.666666666666666,0,0,0,0,0,0,3,20,6,70,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60194-6,192.168.0.10,60194,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,135957,4,8,216.0,8838.0,216.0,0.0,54.0,108.0,4344.0,0.0,1104.7500000000002,1692.292422383656,66594.58505262694,88.26320086497937,12359.727272727272,37872.85437378838,126400.0,1.0,134540.0,44846.66666666667,70715.02045063222,126400.0,548.0,135957.0,19422.428571428572,47621.14635277463,127283.0,1.0,0,0,0,0,128,272,29.421066954993123,58.842133909986245,0.0,4344.0,696.4615384615383,1400.9416247286808,1962637.4358974358,0,1,0,0,0,0,0,0,2.0,754.5,54.0,1104.75,0,0,0,0,0,0,4,216,8,8838,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60224-6,192.168.0.10,60224,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,120385,4,8,158.0,8838.0,158.0,0.0,39.5,79.0,4344.0,0.0,1104.7500000000002,1692.292422383656,74726.91780537443,99.68019271503924,10944.09090909091,32034.795215373375,107120.0,1.0,118550.0,39516.66666666667,58772.71504136365,107120.0,560.0,120385.0,17197.857142857145,40154.85878623977,107890.0,1.0,0,0,0,0,128,272,33.226730905013085,66.45346181002617,0.0,4344.0,692.0,1402.6905099367668,1967540.666666667,0,1,0,0,0,0,0,0,2.0,749.6666666666666,39.5,1104.75,0,0,0,0,0,0,4,158,8,8838,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60218-6,192.168.0.10,60218,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,136979,4,8,169.0,8838.0,169.0,0.0,42.25,84.5,4344.0,0.0,1104.7500000000002,1692.292422383656,65754.6047204316,87.60466932887523,12452.636363636364,36906.37411958191,123269.0,1.0,136153.0,45384.33333333333,67704.95651969162,123269.0,573.0,136979.0,19568.428571428572,46316.78871229144,124183.0,1.0,0,0,0,0,128,272,29.201556442958413,58.403112885916826,0.0,4344.0,692.8461538461538,1402.3448129326018,1966570.974358974,0,1,0,0,0,0,0,0,2.0,750.5833333333334,42.25,1104.75,0,0,0,0,0,0,4,169,8,8838,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60210-6,192.168.0.10,60210,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,151982,4,8,154.0,8838.0,154.0,0.0,38.5,77.0,4344.0,0.0,1104.7500000000002,1692.292422383656,59164.90110671,78.9567185587767,13816.545454545456,37553.95915576316,124937.0,1.0,150695.0,50231.66666666667,65857.61795216506,124937.0,568.0,151982.0,21711.714285714286,46748.5427748441,125775.0,1.0,0,0,0,0,128,272,26.318906186258896,52.63781237251779,0.0,4344.0,691.6923076923077,1402.8178418582713,1967897.897435898,0,1,0,0,0,0,0,0,2.0,749.3333333333334,38.5,1104.75,0,0,0,0,0,0,4,154,8,8838,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60216-6,192.168.0.10,60216,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,152333,3,5,163.0,1145.0,163.0,0.0,54.33333333333333,94.108093877909,1145.0,0.0,229.0,512.0595668474518,8586.452049129211,52.51652629436826,21761.85714285714,46053.0412981545,123848.0,12.0,151125.0,75562.5,68286.00896596609,123848.0,27277.0,152333.0,38083.25,58983.645119501845,124648.0,498.0,0,0,0,0,96,176,19.693697360388096,32.82282893398016,0.0,1145.0,145.33333333333331,378.73110513925315,143437.25,0,1,0,0,0,0,0,0,1.0,163.5,54.333333333333336,229.0,0,0,0,0,0,0,3,163,5,1145,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-6000-43066-6,192.168.0.10,43066,192.168.0.2,6000,6,24/04/2025 03:13:15 PM,96072,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.817720043300856,96072.0,0.0,96072.0,96072.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.408860021650428,10.408860021650428,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,502,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60216-6,192.168.0.10,60216,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,46071,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.41125653882052,46071.0,0.0,46071.0,46071.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.70562826941026,21.70562826941026,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-111-1022-6,192.168.0.10,1022,192.168.0.2,111,6,24/04/2025 03:13:15 PM,217313,4,4,44.0,36.0,44.0,0.0,11.0,22.0,36.0,0.0,9.0,18.0,368.13260136301096,36.813260136301096,31044.714285714283,51145.00566922211,112627.0,10.0,216075.0,72025.0,58665.43618690651,112627.0,4764.0,104676.0,34892.0,55957.26200414027,99486.0,1207.0,0,0,0,0,128,144,18.406630068150548,18.406630068150548,0.0,44.0,8.88888888888889,17.75136927425913,315.1111111111111,0,1,0,0,0,0,0,0,1.0,10.0,11.0,9.0,0,0,0,0,0,0,4,44,4,36,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8009-54018-6,192.168.0.10,54018,192.168.0.2,8009,6,24/04/2025 03:13:15 PM,213697,9,11,88.0,8774.0,88.0,0.0,9.777777777777779,29.333333333333332,2896.0,0.0,797.6363636363636,992.710559299867,41469.93172576124,93.59045751695157,11247.21052631579,27221.278773494963,94925.0,1.0,212611.0,26576.374999999996,38703.07177523879,94925.0,10.0,141839.0,14183.9,32521.47115522298,99936.0,1.0,0,0,0,0,288,368,42.115705882628205,51.47475163432336,0.0,2896.0,422.0,809.9748144232634,656059.2,0,1,0,0,0,0,0,0,1.0,443.1,9.777777777777779,797.6363636363636,0,0,0,0,0,0,9,88,11,8774,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-22-33484-6,192.168.0.10,33484,192.168.0.2,22,6,24/04/2025 03:13:15 PM,117029,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.634671748028268,58514.5,21761.211191016,73902.0,43127.0,73902.0,73902.0,0.0,73902.0,73902.0,0,0,0,0,0,0,0,0,0,64,32,17.08978116535218,8.54489058267609,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,502,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-22-33488-6,192.168.0.10,33488,192.168.0.2,22,6,24/04/2025 03:13:15 PM,149367,4,6,27.0,70.0,27.0,0.0,6.75,13.5,38.0,0.0,11.666666666666666,18.173240400838445,649.4071649025555,66.9491922579954,16596.333333333332,45844.44395725615,138736.0,10.0,147870.0,49290.0,77476.51202783977,138736.0,3094.0,149367.0,29873.4,62408.95482460831,141433.0,143.0,0,0,0,0,128,208,26.779676903198162,40.16951535479724,0.0,38.0,8.818181818181818,15.302406227898812,234.16363636363636,0,1,0,0,0,0,0,0,1.0,9.7,6.75,11.666666666666666,0,0,0,0,0,0,4,27,6,70,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60194-6,192.168.0.10,60194,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,120077,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.655979080090276,120077.0,0.0,120077.0,120077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.327989540045138,8.327989540045138,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,605,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60210-6,192.168.0.10,60210,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,111226,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.981407224929423,111226.0,0.0,111226.0,111226.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.990703612464712,8.990703612464712,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,605,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60218-6,192.168.0.10,60218,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,120951,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53562186339923,120951.0,0.0,120951.0,120951.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.267810931699614,8.267810931699614,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,605,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-8180-60224-6,192.168.0.10,60224,192.168.0.2,8180,6,24/04/2025 03:13:15 PM,121485,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.46293781125242,121485.0,0.0,121485.0,121485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.23146890562621,8.23146890562621,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,605,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-50282-6,192.168.0.10,50282,192.168.0.2,80,6,24/04/2025 03:13:15 PM,61133,3,5,25.0,323.0,25.0,0.0,8.333333333333332,14.433756729740644,323.0,0.0,64.6,144.4499913464864,5692.506502216479,130.86221844175813,8733.285714285714,22266.840538599736,59227.0,11.0,60345.0,30172.5,41089.26794796909,59227.0,1118.0,61133.0,15283.250000000002,29690.03661584135,59818.0,286.0,0,0,0,0,96,176,49.0733319156593,81.78888652609884,0.0,323.0,38.66666666666666,106.94507936319464,11437.25,0,1,0,0,0,0,0,0,1.0,43.5,8.333333333333334,64.6,0,0,0,0,0,0,3,25,5,323,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-1099-55376-6,192.168.0.10,55376,192.168.0.2,1099,6,24/04/2025 03:13:15 PM,434109,7,7,63.0,79.0,41.0,0.0,9.0,15.209646062066444,63.0,0.0,11.285714285714285,23.570562754661342,327.10678654439323,32.249964870573976,33393.0,53783.64854984583,145428.0,8.0,433371.0,72228.5,61845.646879145825,145428.0,1169.0,324708.0,54118.0,80277.93002064763,187654.0,228.0,0,0,0,0,224,240,16.124982435286988,16.124982435286988,0.0,63.0,9.466666666666667,18.58519636187694,345.4095238095238,0,1,0,0,0,0,0,0,1.0,10.142857142857142,9.0,11.285714285714286,0,0,0,0,0,0,7,63,7,79,-1,91,3,0,0,0,0,0,0,0,0,0,No Label
