Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,25/04/2025 07:05:40 PM,55002681,5,1,1500.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,0.0,32.725677499247716,0.10908559166415906,1.10005362E7,5101835.290919504,1.6001458E7,3990221.0,5.101246E7,1.2753115E7,3772012.917020036,1.6001458E7,9010233.0,0,0,0,0,0,0,0,0,0,40,8,0.09090465972013255,0.01818093194402651,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,350.0,300.0,300.0,0,0,0,0,0,0,5,1500,1,300,-1,-1,5,0,3990221.0,0.0,3990221.0,3990221.0,1.2753115E7,3772012.917020036,1.6001458E7,9010233.0,No Label
192.168.0.2-192.168.0.10-80-53842-6,192.168.0.10,53842,192.168.0.2,80,6,25/04/2025 07:15:08 PM,15749222,7,9,688.0,1656.0,351.0,0.0,98.28571428571428,167.90345865577464,1138.0,0.0,184.0,395.8430875991142,148.83274869069723,1.015923199253906,1049948.1333333333,2789084.6898776637,1.0000593E7,22.0,1.0746461E7,1791076.8333333335,4029443.5918560973,1.0000593E7,1322.0,1.5749222E7,1968652.75,3673346.582612869,1.0001368E7,699.0,0,0,0,0,224,304,0.44446639967358387,0.5714567995803221,0.0,1138.0,137.88235294117646,303.295623598689,91988.23529411764,0,1,0,0,0,0,0,0,1.0,146.5,98.28571428571429,184.0,0,0,0,0,0,0,7,688,9,1656,-1,124,2,0,746672.0,0.0,746672.0,746672.0,1.0000593E7,0.0,1.0000593E7,1.0000593E7,No Label
192.168.0.255-192.168.0.2-138-138-17,192.168.0.2,138,192.168.0.255,138,17,25/04/2025 07:09:34 PM,44,1,1,215.0,244.0,215.0,215.0,215.0,0.0,244.0,244.0,244.0,0.0,1.0431818181818182E7,45454.545454545456,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,22727.272727272728,22727.272727272728,215.0,244.0,234.33333333333334,16.743157806499145,280.3333333333333,0,0,0,0,0,0,0,0,1.0,351.5,215.0,244.0,0,0,0,0,0,0,1,215,1,244,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,25/04/2025 07:09:52 PM,57011949,5,1,1500.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,0.0,31.5723288112813,0.10524109603760433,1.14023898E7,2193914.285043219,1.4010466E7,8000098.0,4.9011851E7,1.225296275E7,1262742.081745483,1.4010466E7,1.1001231E7,0,0,0,0,0,0,0,0,0,40,8,0.08770091336467027,0.017540182672934054,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,350.0,300.0,300.0,0,0,0,0,0,0,5,1500,1,300,-1,-1,5,0,0,0,0,0,1.14023898E7,2193914.285043219,1.4010466E7,8000098.0,No Label
192.168.0.2-192.168.0.10-80-59322-6,192.168.0.10,59322,192.168.0.2,80,6,25/04/2025 07:16:04 PM,29711615,12,13,1538.0,7010.0,659.0,0.0,128.16666666666669,240.4173769749499,2896.0,0.0,539.2307692307692,884.261476586173,287.6989352480503,0.841421780673989,1237983.958333333,3023873.720736273,1.0082897E7,1.0,2.4785777E7,2253252.4545454546,4086623.1151537662,1.0082897E7,28.0,2.9711615E7,2475967.9166666665,3972447.859404381,1.0084289E7,1.0,0,0,0,0,384,432,0.4038824547235147,0.4375393259504743,0.0,2896.0,328.76923076923083,668.8986355311129,447425.3846153846,0,1,0,0,0,0,0,0,1.0,341.92,128.16666666666666,539.2307692307693,0,0,0,0,0,0,12,1538,13,7010,-1,145,3,0,2321448.0,3274607.2610342144,4636945.0,5951.0,1.00717565E7,15755.046191617465,1.0082897E7,1.0060616E7,No Label
192.168.0.2-192.168.0.10-80-59312-6,192.168.0.10,59312,192.168.0.2,80,6,25/04/2025 07:16:03 PM,30476202,38,57,3292.0,49429.0,657.0,0.0,86.63157894736841,190.06832641328657,2896.0,0.0,867.1754385964912,873.7360283535913,1729.9071583788557,3.1171863213139224,324214.91489361686,1586987.449995852,1.0166032E7,0.0,2.5633516E7,692797.7297297297,2374256.8598130476,1.0166032E7,8.0,3.0476202E7,544217.892857143,2035757.7300111642,1.0167107E7,0.0,0,0,0,0,1216,1840,1.246874528525569,1.8703117927883532,0.0,2896.0,549.1770833333331,783.2692753996466,613510.7577850876,0,1,0,0,0,0,0,0,1.0,554.9578947368421,86.63157894736842,867.1754385964912,0,0,0,0,0,0,38,3292,57,49429,-1,217,7,0,2732071.5,2953669.17072317,4820631.0,643512.0,1.00853915E7,114042.88877654757,1.0166032E7,1.0004751E7,No Label
192.168.0.2-192.168.0.10-80-59408-6,192.168.0.10,59408,192.168.0.2,80,6,25/04/2025 07:16:35 PM,15552030,30,38,2739.0,27740.0,904.0,0.0,91.29999999999998,241.442382646318,1448.0,0.0,730.0000000000003,679.2027122474735,1959.808462303635,4.3724195490878035,232119.85074626867,1357022.908385376,1.0010187E7,0.0,1.5551238E7,536249.5862068966,2042579.739651823,1.0010187E7,8.0,1.056245E7,285471.6216216216,1643967.1023250155,1.0012423E7,0.0,0,0,0,0,960,1232,1.9290086245975606,2.4434109244902436,0.0,1448.0,441.7246376811594,615.9185842887786,379355.70247229317,0,1,0,0,0,0,0,0,1.0,448.22058823529414,91.3,730.0,0,0,0,0,0,0,30,2739,38,27740,-1,204,4,0,551468.0,0.0,551468.0,551468.0,1.0010187E7,0.0,1.0010187E7,1.0010187E7,No Label
192.168.0.2-192.168.0.10-80-44554-6,192.168.0.10,44554,192.168.0.2,80,6,25/04/2025 07:16:50 PM,4074817,10,10,419.0,3967.0,419.0,0.0,41.9,132.49943396105508,1448.0,0.0,396.7,583.5074121208745,1076.367355883712,4.908195877262709,214464.05263157896,714496.0284573918,3004909.0,8.0,4074319.0,452702.1111111111,1013634.0327209379,3004909.0,40.0,1069890.0,118876.66666666667,336589.7108238753,1015929.0,74.0,0,0,0,0,320,336,2.4540979386313544,2.4540979386313544,0.0,1448.0,208.85714285714286,441.44934995017104,194877.52857142856,0,1,0,0,0,0,0,0,1.0,219.3,41.9,396.7,0,0,0,0,0,0,10,419,10,3967,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44550-6,192.168.0.10,44550,192.168.0.2,80,6,25/04/2025 07:16:50 PM,4087857,12,12,417.0,3985.0,417.0,0.0,34.75000000000001,120.37753112603697,1583.0,0.0,332.0833333333333,552.3970012316295,1076.8478447264667,5.871046859026625,177732.91304347827,653655.9584923383,3004005.0,10.0,4087263.0,371569.3636363637,927845.0448826327,3004005.0,21.0,1083800.0,98527.27272727272,315530.38293200574,1049695.0,35.0,0,0,0,0,384,400,2.9355234295133124,2.9355234295133124,0.0,1583.0,176.07999999999998,412.24506465612575,169945.99333333332,0,1,0,0,0,0,0,0,1.0,183.41666666666666,34.75,332.0833333333333,0,0,0,0,0,0,12,417,12,3985,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44574-6,192.168.0.10,44574,192.168.0.2,80,6,25/04/2025 07:16:50 PM,4170292,8,8,408.0,3948.0,408.0,0.0,51.0,144.2497833620557,1448.0,0.0,493.50000000000006,634.5936832786336,1044.5311743158513,3.8366617973034023,278019.4666666667,811309.6929645711,3012006.0,17.0,4169569.0,595652.7142857143,1146995.512476504,3012006.0,395.0,1158239.0,165462.7142857143,430259.17937359354,1141172.0,398.0,0,0,0,0,256,272,1.9183308986517011,1.9183308986517011,0.0,1448.0,256.2352941176471,488.4673133142796,238600.31617647057,0,1,0,0,0,0,0,0,1.0,272.25,51.0,493.5,0,0,0,0,0,0,8,408,8,3948,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44470-6,192.168.0.10,44470,192.168.0.2,80,6,25/04/2025 07:16:48 PM,6088099,8,8,421.0,3945.0,421.0,0.0,52.625,148.84597743976826,1448.0,0.0,493.125,634.6509586266409,717.1368271113857,2.628078157073333,405873.26666666666,1549410.0124757842,6006365.0,14.0,6087273.0,869610.4285714285,2265207.1910717026,6006365.0,319.0,81686.0,11669.42857142857,22506.66102777237,61978.0,326.0,0,0,0,0,256,272,1.3140390785366665,1.3140390785366665,0.0,1448.0,256.82352941176475,488.67169900840867,238800.02941176476,0,1,0,0,0,0,0,0,1.0,272.875,52.625,493.125,0,0,0,0,0,0,8,421,8,3945,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44480-6,192.168.0.10,44480,192.168.0.2,80,6,25/04/2025 07:16:48 PM,6108954,8,8,416.0,3948.0,416.0,0.0,52.00000000000001,147.07821048680188,1448.0,0.0,493.50000000000006,634.5936832786336,714.3612474410513,2.6191063150909306,407263.60000000003,1549091.589649735,6006552.0,15.0,6108038.0,872576.8571428573,2263992.001690188,6006552.0,465.0,102358.0,14622.571428571428,23962.3310138861,63413.0,468.0,0,0,0,0,256,272,1.3095531575454653,1.3095531575454653,0.0,1448.0,256.70588235294116,488.62648883194544,238755.84558823527,0,1,0,0,0,0,0,0,1.0,272.75,52.0,493.5,0,0,0,0,0,0,8,416,8,3948,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44512-6,192.168.0.10,44512,192.168.0.2,80,6,25/04/2025 07:16:49 PM,6161048,28,44,408.0,4310.0,408.0,0.0,14.57142857142857,77.10475249388236,828.0,0.0,97.95454545454547,190.84328826692536,765.7788090597574,11.686323495613085,86775.32394366196,712509.4065695609,6004954.0,7.0,6160449.0,228164.77777777775,1154693.6668049947,6004954.0,25.0,153746.0,3575.4883720930225,16557.911821086065,107133.0,27.0,0,0,0,0,896,1424,4.5446813594050885,7.141642136207996,0.0,828.0,64.63013698630137,160.2876326803124,25692.125190258757,0,1,0,0,0,0,0,0,1.0,65.52777777777777,14.571428571428571,97.95454545454545,0,0,0,0,0,0,28,408,44,4310,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44586-6,192.168.0.10,44586,192.168.0.2,80,6,25/04/2025 07:16:51 PM,4031629,10,10,411.0,3965.0,411.0,0.0,41.099999999999994,129.96961183292038,1448.0,0.0,396.5,518.2681095083252,1085.4173337874097,4.960773920417777,212191.0,714467.2744935363,3004974.0,1.0,4030930.0,447881.1111111111,1014877.3230242467,3004974.0,27.0,1026560.0,114062.22222222222,334825.84566038876,1006876.0,1.0,0,0,0,0,320,336,2.4803869602088886,2.4803869602088886,0.0,1448.0,208.38095238095238,402.901039486184,162329.2476190476,0,1,0,0,0,0,0,0,1.0,218.8,41.1,396.5,0,0,0,0,0,0,10,411,10,3965,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44496-6,192.168.0.10,44496,192.168.0.2,80,6,25/04/2025 07:16:49 PM,6192536,16,16,418.0,3991.0,418.0,0.0,26.124999999999993,104.5,1448.0,0.0,249.4375,501.25016625101154,711.9861717396557,5.167511339457696,199759.2258064516,1077872.4862809672,6005902.0,10.0,6191601.0,412773.39999999997,1547711.0128442121,6005902.0,108.0,186593.0,12439.533333333336,36003.5524871538,139060.0,143.0,0,0,0,0,512,528,2.583755669728848,2.583755669728848,0.0,1448.0,133.60606060606062,368.6943126929424,135935.4962121212,0,1,0,0,0,0,0,0,1.0,137.78125,26.125,249.4375,0,0,0,0,0,0,16,418,16,3991,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44510-6,192.168.0.10,44510,192.168.0.2,80,6,25/04/2025 07:16:49 PM,6251239,8,8,414.0,3945.0,414.0,0.0,51.75,146.37110370561533,1448.0,0.0,493.12499999999994,665.1769769875425,697.3017668977302,2.5594926061857497,416749.2666666667,1551280.6349770902,6022041.0,20.0,6250817.0,892973.8571428573,2262528.3678617477,6022041.0,770.0,229141.0,32734.428571428572,62406.43282775994,170926.0,400.0,0,0,0,0,256,272,1.2797463030928748,1.2797463030928748,0.0,1448.0,256.4117647058824,505.98283800237846,256018.63235294117,0,1,0,0,0,0,0,0,1.0,272.4375,51.75,493.125,0,0,0,0,0,0,8,414,8,3945,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-80-44594-6,192.168.0.10,44594,192.168.0.2,80,6,25/04/2025 07:16:52 PM,3080876,8,8,412.0,3948.0,412.0,0.0,51.49999999999999,145.6639969244288,1448.0,0.0,493.50000000000006,634.5936832786336,1415.181915792781,5.193328131349655,205391.7333333333,774828.5763878417,3005656.0,11.0,3080098.0,440014.0,1131562.533041222,3005656.0,269.0,75159.0,10737.0,22530.50042349999,61475.0,305.0,0,0,0,0,256,272,2.5966640656748274,2.5966640656748274,0.0,1448.0,256.4705882352941,488.54594431422964,238677.13970588235,0,1,0,0,0,0,0,0,1.0,272.5,51.5,493.5,0,0,0,0,0,0,8,412,8,3948,-1,108,1,0,0,0,0,0,0,0,0,0,No Label
